locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGBMBALL_00001	CDS	1101	tagE	2.4.1.52	COG0438	Poly(glycerol-phosphate) alpha-glucosyltransferase
AGBMBALL_00002	CDS	879				hypothetical protein
AGBMBALL_00003	CDS	1065				hypothetical protein
AGBMBALL_00004	CDS	222				hypothetical protein
AGBMBALL_00005	CDS	624	rcdA_1		COG3226	HTH-type transcriptional regulator RcdA
AGBMBALL_00006	CDS	366	yjbR		COG2315	putative protein YjbR
AGBMBALL_00007	CDS	1326	rarA		COG2256	Replication-associated recombination protein A
AGBMBALL_00008	CDS	516		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
AGBMBALL_00009	CDS	918				hypothetical protein
AGBMBALL_00010	CDS	1449				hypothetical protein
AGBMBALL_00011	CDS	138				hypothetical protein
AGBMBALL_00012	CDS	423				hypothetical protein
AGBMBALL_00013	CDS	462				hypothetical protein
AGBMBALL_00014	CDS	1701	xylB_1	2.7.1.17	COG1070	Xylulose kinase
AGBMBALL_00015	CDS	663	menG_1	2.1.1.163		Demethylmenaquinone methyltransferase
AGBMBALL_00016	CDS	1737				hypothetical protein
AGBMBALL_00017	CDS	297				hypothetical protein
AGBMBALL_00018	CDS	912	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
AGBMBALL_00019	CDS	960	araP_1		COG1175	L-arabinose transport system permease protein AraP
AGBMBALL_00020	CDS	1281	msmE_1		COG1653	Multiple sugar-binding protein
AGBMBALL_00021	CDS	1239	glcK	2.7.1.2	COG1940	Glucokinase
AGBMBALL_00022	CDS	1095	rifL	1.1.1.-		Putative UDP-kanosamine synthase oxidoreductase subunit
AGBMBALL_00023	CDS	933	gbuC			Glycine betaine/carnitine transport binding protein GbuC
AGBMBALL_00024	CDS	897	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
AGBMBALL_00025	CDS	1287	gbuA	3.6.3.32		Glycine betaine/carnitine transport ATP-binding protein GbuA
AGBMBALL_00026	CDS	753	clcD	3.1.1.45		Carboxymethylenebutenolidase
AGBMBALL_00027	CDS	1260	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
AGBMBALL_00028	CDS	1041				hypothetical protein
AGBMBALL_00029	CDS	873	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
AGBMBALL_00030	CDS	798	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
AGBMBALL_00031	CDS	948	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
AGBMBALL_00032	CDS	270				hypothetical protein
AGBMBALL_00033	CDS	1404	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
AGBMBALL_00034	CDS	2091	dpp5_1	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
AGBMBALL_00035	CDS	1230				hypothetical protein
AGBMBALL_00036	tRNA	74				tRNA-Arg(cct)
AGBMBALL_00037	CDS	1437		3.5.-.-	COG0388	Hydrolase
AGBMBALL_00038	CDS	600	pcoC		COG2372	Copper resistance protein C
AGBMBALL_00039	CDS	216				hypothetical protein
AGBMBALL_00040	CDS	717	srlR		COG1349	Glucitol operon repressor
AGBMBALL_00041	CDS	4986				hypothetical protein
AGBMBALL_00042	CDS	261				hypothetical protein
AGBMBALL_00043	CDS	492				hypothetical protein
AGBMBALL_00044	CDS	1026				hypothetical protein
AGBMBALL_00045	CDS	891	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
AGBMBALL_00046	CDS	666	ktrA		COG0569	Ktr system potassium uptake protein A
AGBMBALL_00047	CDS	1404	ktrB		COG0168	Ktr system potassium uptake protein B
AGBMBALL_00048	CDS	1293	acuC			Acetoin utilization protein AcuC
AGBMBALL_00049	CDS	1755				hypothetical protein
AGBMBALL_00050	CDS	1713	mnmE	3.6.-.-		tRNA modification GTPase MnmE
AGBMBALL_00051	CDS	99				hypothetical protein
AGBMBALL_00052	CDS	306				hypothetical protein
AGBMBALL_00053	CDS	531				hypothetical protein
AGBMBALL_00054	CDS	672				hypothetical protein
AGBMBALL_00055	CDS	648			COG0406	putative protein
AGBMBALL_00056	CDS	645	resA			Thiol-disulfide oxidoreductase ResA
AGBMBALL_00057	CDS	816				hypothetical protein
AGBMBALL_00058	CDS	1791	ccsB			Cytochrome c biogenesis protein CcsB
AGBMBALL_00059	CDS	1167	ccsA			Cytochrome c biogenesis protein CcsA
AGBMBALL_00060	CDS	333	yxlE			Negative regulatory protein YxlE
AGBMBALL_00061	CDS	450				hypothetical protein
AGBMBALL_00062	CDS	897	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
AGBMBALL_00063	CDS	1392	menE	6.2.1.26	COG0318	putative 2-succinylbenzoate--CoA ligase
AGBMBALL_00064	CDS	1011	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
AGBMBALL_00065	CDS	564				hypothetical protein
AGBMBALL_00066	CDS	978	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
AGBMBALL_00067	CDS	1893	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
AGBMBALL_00068	CDS	1560	htrB	3.4.21.107	COG0265	Serine protease Do-like HtrB
AGBMBALL_00069	CDS	1350	dhbC	5.4.4.2	COG1169	Isochorismate synthase DhbC
AGBMBALL_00070	CDS	1410				hypothetical protein
AGBMBALL_00071	CDS	426				hypothetical protein
AGBMBALL_00072	CDS	582	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
AGBMBALL_00073	CDS	1644	purH		COG0138	Bifunctional purine biosynthesis protein PurH
AGBMBALL_00074	CDS	906	ppk2B	2.7.4.1	COG2326	Polyphosphate kinase PPK2B
AGBMBALL_00075	CDS	1515	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
AGBMBALL_00076	CDS	237				hypothetical protein
AGBMBALL_00077	CDS	1479				hypothetical protein
AGBMBALL_00078	CDS	1089	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
AGBMBALL_00079	CDS	1269	galK_1	2.7.1.6	COG0153	Galactokinase
AGBMBALL_00080	CDS	1059		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
AGBMBALL_00081	CDS	1311		2.6.1.1		Aspartate aminotransferase
AGBMBALL_00082	tRNA	75				tRNA-Trp(cca)
AGBMBALL_00083	CDS	303	secE			Protein translocase subunit SecE
AGBMBALL_00084	CDS	948	nusG		COG0250	Transcription termination/antitermination protein NusG
AGBMBALL_00085	CDS	432	rplK		COG0080	50S ribosomal protein L11
AGBMBALL_00086	CDS	720	rplA		COG0081	50S ribosomal protein L1
AGBMBALL_00087	CDS	516	rplJ		COG0244	50S ribosomal protein L10
AGBMBALL_00088	CDS	387	rplL		COG0222	50S ribosomal protein L7/L12
AGBMBALL_00089	CDS	3489	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
AGBMBALL_00090	CDS	3885	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
AGBMBALL_00091	CDS	1266	rpfB	3.-.-.-		Resuscitation-promoting factor RpfB
AGBMBALL_00092	CDS	375	rpsL		COG0048	30S ribosomal protein S12
AGBMBALL_00093	CDS	471	rpsG		COG0049	30S ribosomal protein S7
AGBMBALL_00094	CDS	2148	fusA		COG0480	Elongation factor G
AGBMBALL_00095	CDS	1188	tuf		COG0050	Elongation factor Tu
AGBMBALL_00096	tRNA	92				tRNA-Leu(cag)
AGBMBALL_00097	CDS	1455				hypothetical protein
AGBMBALL_00098	CDS	969	lacF_1			Lactose transport system permease protein LacF
AGBMBALL_00099	CDS	909	sugB_1		COG0395	Trehalose transport system permease protein SugB
AGBMBALL_00100	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
AGBMBALL_00101	CDS	681	rplC		COG0087	50S ribosomal protein L3
AGBMBALL_00102	CDS	942	rplD		COG0088	50S ribosomal protein L4
AGBMBALL_00103	CDS	303	rplW		COG0089	50S ribosomal protein L23
AGBMBALL_00104	CDS	837	rplB		COG0090	50S ribosomal protein L2
AGBMBALL_00105	CDS	282	rpsS		COG0185	30S ribosomal protein S19
AGBMBALL_00106	CDS	354	rplV		COG0091	50S ribosomal protein L22
AGBMBALL_00107	CDS	840	rpsC		COG0092	30S ribosomal protein S3
AGBMBALL_00108	CDS	420	rplP		COG0197	50S ribosomal protein L16
AGBMBALL_00109	CDS	234	rpmC		COG0255	50S ribosomal protein L29
AGBMBALL_00110	CDS	327	rpsQ			30S ribosomal protein S17
AGBMBALL_00111	CDS	456				hypothetical protein
AGBMBALL_00112	CDS	369	rplN		COG0093	50S ribosomal protein L14
AGBMBALL_00113	CDS	387	rplX		COG0198	50S ribosomal protein L24
AGBMBALL_00114	CDS	573	rplE		COG0094	50S ribosomal protein L5
AGBMBALL_00115	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
AGBMBALL_00116	CDS	399	rpsH		COG0096	30S ribosomal protein S8
AGBMBALL_00117	CDS	543	rplF		COG0097	50S ribosomal protein L6
AGBMBALL_00118	CDS	387	rplR		COG0256	50S ribosomal protein L18
AGBMBALL_00119	CDS	690	rpsE		COG0098	30S ribosomal protein S5
AGBMBALL_00120	CDS	180	rpmD		COG1841	50S ribosomal protein L30
AGBMBALL_00121	CDS	459	rplO		COG0200	50S ribosomal protein L15
AGBMBALL_00122	CDS	1305	secY		COG0201	Protein translocase subunit SecY
AGBMBALL_00123	CDS	633	adk	2.7.4.3	COG0563	Adenylate kinase
AGBMBALL_00124	CDS	840	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
AGBMBALL_00125	CDS	222	infA		COG0361	Translation initiation factor IF-1
AGBMBALL_00126	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
AGBMBALL_00127	CDS	375	rpsM		COG0099	30S ribosomal protein S13
AGBMBALL_00128	CDS	405	rpsK		COG0100	30S ribosomal protein S11
AGBMBALL_00129	CDS	996	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
AGBMBALL_00130	CDS	507	rplQ		COG0203	50S ribosomal protein L17
