locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFGBOHMA_00001	CDS	1386	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
IFGBOHMA_00002	CDS	888	pdxS	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxS
IFGBOHMA_00003	CDS	576	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
IFGBOHMA_00004	CDS	1215	nupC		COG1972	Nucleoside permease NupC
IFGBOHMA_00005	CDS	462	ctsR		COG4463	Transcriptional regulator CtsR
IFGBOHMA_00006	CDS	552	mcsA		COG3880	Protein-arginine kinase activator protein
IFGBOHMA_00007	CDS	1014	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
IFGBOHMA_00008	CDS	2463	clpC		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC
IFGBOHMA_00009	CDS	1377	radA	3.6.4.-	COG1066	DNA repair protein RadA
IFGBOHMA_00010	CDS	1059	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
IFGBOHMA_00011	CDS	1458	gltX	6.1.1.17		Glutamate--tRNA ligase
IFGBOHMA_00012	CDS	651	cysE	2.3.1.30		Serine acetyltransferase
IFGBOHMA_00013	CDS	1401	cysS	6.1.1.16		Cysteine--tRNA ligase
IFGBOHMA_00014	CDS	396	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
IFGBOHMA_00015	CDS	768		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
IFGBOHMA_00016	CDS	525	yacP		COG3688	putative protein YacP
IFGBOHMA_00017	CDS	570				hypothetical protein
IFGBOHMA_00018	CDS	180	secE			Protein translocase subunit SecE
IFGBOHMA_00019	CDS	549	nusG			Transcription termination/antitermination protein NusG
IFGBOHMA_00020	CDS	423	rplK			50S ribosomal protein L11
IFGBOHMA_00021	CDS	696	rplA			50S ribosomal protein L1
IFGBOHMA_00022	CDS	510	rplJ			50S ribosomal protein L10
IFGBOHMA_00023	CDS	369	rplL			50S ribosomal protein L7/L12
