locus_tag	ftype	length_bp	gene	EC_number	COG	product
MOFHFCGN_00001	CDS	1296				hypothetical protein
MOFHFCGN_00002	CDS	948				hypothetical protein
MOFHFCGN_00003	CDS	801				hypothetical protein
MOFHFCGN_00004	CDS	216				hypothetical protein
MOFHFCGN_00005	CDS	699	ppaX_1	3.6.1.1	COG0546	Pyrophosphatase PpaX
MOFHFCGN_00006	CDS	390				hypothetical protein
MOFHFCGN_00007	CDS	663	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
MOFHFCGN_00008	CDS	618	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
MOFHFCGN_00009	CDS	492	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MOFHFCGN_00010	CDS	873	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
MOFHFCGN_00011	CDS	567	azo1	1.7.-.-		FMN-dependent NADPH-azoreductase
MOFHFCGN_00012	CDS	345				hypothetical protein
MOFHFCGN_00013	CDS	495	tetD_1			Transposon Tn10 TetD protein
MOFHFCGN_00014	CDS	879	folE2	3.5.4.16		GTP cyclohydrolase FolE2
MOFHFCGN_00015	CDS	666	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
MOFHFCGN_00016	CDS	360	yojF			putative protein YojF
MOFHFCGN_00017	CDS	633		4.1.2.43		3-hexulose-6-phosphate synthase
MOFHFCGN_00018	CDS	549	hxlB_1	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
MOFHFCGN_00019	CDS	129				hypothetical protein
MOFHFCGN_00020	CDS	1347	alsT_1		COG1115	Amino-acid carrier protein AlsT
MOFHFCGN_00021	CDS	1368	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
MOFHFCGN_00022	CDS	1143	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
MOFHFCGN_00023	CDS	363				hypothetical protein
MOFHFCGN_00024	CDS	264				hypothetical protein
MOFHFCGN_00025	CDS	441				hypothetical protein
MOFHFCGN_00026	CDS	171				hypothetical protein
MOFHFCGN_00027	CDS	510	isaB_1			Immunodominant staphylococcal antigen B
MOFHFCGN_00028	CDS	831	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
MOFHFCGN_00029	CDS	657	ung	3.2.2.27		Uracil-DNA glycosylase
MOFHFCGN_00030	CDS	390				hypothetical protein
MOFHFCGN_00031	CDS	366				hypothetical protein
MOFHFCGN_00032	CDS	1488	yhdG_1		COG0531	putative amino acid permease YhdG
MOFHFCGN_00033	CDS	453				hypothetical protein
MOFHFCGN_00034	CDS	774	yjjP_1		COG2966	Inner membrane protein YjjP
MOFHFCGN_00035	CDS	750		1.11.1.-		Putative heme-dependent peroxidase
MOFHFCGN_00036	CDS	987	pta_1	2.3.1.8		Phosphate acetyltransferase
MOFHFCGN_00037	CDS	837	lipL	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
MOFHFCGN_00038	CDS	924	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
MOFHFCGN_00039	CDS	990	thrB_1	2.7.1.39		Homoserine kinase
MOFHFCGN_00040	CDS	1077		2.7.4.2		Phosphomevalonate kinase
MOFHFCGN_00041	CDS	1605	malP_1		COG1263	PTS system maltose-specific EIICB component
MOFHFCGN_00042	CDS	750	glvR_1		COG1737	HTH-type transcriptional regulator GlvR
MOFHFCGN_00043	CDS	1083	gfo_1	1.1.99.28		Glucose--fructose oxidoreductase
MOFHFCGN_00044	CDS	717				hypothetical protein
MOFHFCGN_00045	CDS	1047	gfo_2	1.1.99.28		Glucose--fructose oxidoreductase
MOFHFCGN_00046	CDS	969				hypothetical protein
MOFHFCGN_00047	CDS	342				hypothetical protein
MOFHFCGN_00048	CDS	936	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
MOFHFCGN_00049	CDS	543	ywqN	1.-.-.-	COG0655	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
MOFHFCGN_00050	CDS	480	paiA_1	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
MOFHFCGN_00051	CDS	1299				hypothetical protein
MOFHFCGN_00052	CDS	513				hypothetical protein
MOFHFCGN_00053	CDS	414	ywiB		COG4506	putative beta-barrel protein YwiB
MOFHFCGN_00054	CDS	1668	argS	6.1.1.19		Arginine--tRNA ligase
MOFHFCGN_00055	CDS	636	pdg			Ultraviolet N-glycosylase/AP lyase
MOFHFCGN_00056	CDS	771	tipA			HTH-type transcriptional activator TipA
MOFHFCGN_00057	CDS	888	btuF		COG0614	Vitamin B12-binding protein
MOFHFCGN_00058	CDS	951			COG0609	putative ABC transporter permease protein
MOFHFCGN_00059	CDS	702	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
MOFHFCGN_00060	CDS	798			COG0596	putative protein
MOFHFCGN_00061	CDS	507				hypothetical protein
MOFHFCGN_00062	CDS	711				hypothetical protein
MOFHFCGN_00063	CDS	813	pip	3.4.11.5		Proline iminopeptidase
MOFHFCGN_00064	CDS	375	sarA		COG1846	Transcriptional regulator SarA
MOFHFCGN_00065	CDS	939				hypothetical protein
MOFHFCGN_00066	CDS	894				hypothetical protein
MOFHFCGN_00067	CDS	234				hypothetical protein
MOFHFCGN_00068	CDS	222				hypothetical protein
MOFHFCGN_00069	CDS	207				hypothetical protein
MOFHFCGN_00070	CDS	552	xerD_1			Tyrosine recombinase XerD
MOFHFCGN_00071	CDS	2397	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
MOFHFCGN_00072	CDS	426	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
MOFHFCGN_00073	CDS	351	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
MOFHFCGN_00074	CDS	1506	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
MOFHFCGN_00075	CDS	483	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
MOFHFCGN_00076	CDS	303	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
MOFHFCGN_00077	CDS	447	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
MOFHFCGN_00078	CDS	2052	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
MOFHFCGN_00079	CDS	933	mntA		COG0803	Manganese-binding lipoprotein MntA
MOFHFCGN_00080	CDS	834	mntB			Manganese transport system membrane protein MntB
MOFHFCGN_00081	CDS	723	znuC_1	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
MOFHFCGN_00082	CDS	645	ideR		COG1321	Iron-dependent repressor IdeR
MOFHFCGN_00083	CDS	750				hypothetical protein
MOFHFCGN_00084	CDS	747	tarA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
MOFHFCGN_00085	CDS	795	tagH_1	3.6.3.40		Teichoic acids export ATP-binding protein TagH
MOFHFCGN_00086	CDS	846	tagG_1		COG1682	Teichoic acid translocation permease protein TagG
MOFHFCGN_00087	CDS	1092	tarB	2.7.8.44	COG1887	Teichoic acid glycerol-phosphate primase
MOFHFCGN_00088	CDS	1059	tagX	2.4.-.-		Putative glycosyltransferase TagX
MOFHFCGN_00089	CDS	399	tarD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
MOFHFCGN_00090	CDS	1293	dacA	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
MOFHFCGN_00091	CDS	1722	bmrA_1	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
MOFHFCGN_00092	CDS	1230	nupG		COG1972	Purine nucleoside transport protein NupG
MOFHFCGN_00093	CDS	837				hypothetical protein
MOFHFCGN_00094	CDS	804	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
MOFHFCGN_00095	CDS	1002	feuB		COG0609	Iron-uptake system permease protein FeuB
MOFHFCGN_00096	CDS	1017	feuC		COG0609	Iron-uptake system permease protein FeuC
MOFHFCGN_00097	CDS	966	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
MOFHFCGN_00098	CDS	576	dhaL	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
