locus_tag	ftype	length_bp	gene	EC_number	COG	product
JOIMIODL_00001	CDS	1293				hypothetical protein
JOIMIODL_00002	CDS	936	lacF_1			Lactose transport system permease protein LacF
JOIMIODL_00003	CDS	969	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
JOIMIODL_00004	CDS	702				hypothetical protein
JOIMIODL_00005	CDS	882	iolO	5.1.3.-	COG1082	5-keto-L-gluconate epimerase
JOIMIODL_00006	CDS	1053	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
JOIMIODL_00007	CDS	1338				hypothetical protein
JOIMIODL_00008	CDS	360	rhaM	5.1.3.32		L-rhamnose mutarotase
JOIMIODL_00009	CDS	1179	xylA_1	5.3.1.5		Xylose isomerase
JOIMIODL_00010	CDS	2058	budC_1	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
JOIMIODL_00011	CDS	1635	rhaB	2.7.1.5		Rhamnulokinase
JOIMIODL_00012	CDS	1014	rbsR_1		COG1609	Ribose operon repressor
JOIMIODL_00013	CDS	1335	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
JOIMIODL_00014	CDS	1437	naiP_1			Putative niacin/nicotinamide transporter NaiP
JOIMIODL_00015	CDS	2289				hypothetical protein
JOIMIODL_00016	CDS	1305	yesO_2		COG1653	Putative ABC transporter substrate-binding protein YesO
JOIMIODL_00017	CDS	1818				hypothetical protein
JOIMIODL_00018	CDS	252				hypothetical protein
JOIMIODL_00019	CDS	1041	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
JOIMIODL_00020	CDS	1140	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
JOIMIODL_00021	CDS	918			COG1173	Putative peptide transport permease protein
JOIMIODL_00022	CDS	1101	dppB_1		COG0601	Dipeptide transport system permease protein DppB
JOIMIODL_00023	CDS	2769				hypothetical protein
JOIMIODL_00024	CDS	1200	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
JOIMIODL_00025	CDS	1356	yteT_1	1.-.-.-	COG0673	Putative oxidoreductase YteT
JOIMIODL_00026	CDS	924	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
JOIMIODL_00027	CDS	939	lacF_2			Lactose transport system permease protein LacF
JOIMIODL_00028	CDS	1305	yesO_3		COG1653	Putative ABC transporter substrate-binding protein YesO
JOIMIODL_00029	CDS	1311	yesO_4		COG1653	Putative ABC transporter substrate-binding protein YesO
JOIMIODL_00030	CDS	1296	yesO_5		COG1653	Putative ABC transporter substrate-binding protein YesO
JOIMIODL_00031	CDS	2151				hypothetical protein
JOIMIODL_00032	CDS	1680				hypothetical protein
JOIMIODL_00033	CDS	1008	cobB_1	3.5.1.-	COG0846	NAD-dependent protein deacetylase
JOIMIODL_00034	CDS	1200	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
JOIMIODL_00035	CDS	915	thiG	2.8.1.10	COG2022	Thiazole synthase
JOIMIODL_00036	CDS	249				hypothetical protein
JOIMIODL_00037	CDS	1227	thiO	1.4.3.19	COG0665	Glycine oxidase
JOIMIODL_00038	CDS	801	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
JOIMIODL_00039	CDS	927				hypothetical protein
JOIMIODL_00040	CDS	771				hypothetical protein
JOIMIODL_00041	CDS	1836	ybgJ		COG2049	putative protein YbgJ
JOIMIODL_00042	CDS	492	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
JOIMIODL_00043	CDS	1461	naiP_2			Putative niacin/nicotinamide transporter NaiP
JOIMIODL_00044	CDS	471	derI2_1	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase 2
JOIMIODL_00045	CDS	1713	lerK_1	2.7.1.209	COG2376	L-erythrulose 1-kinase
JOIMIODL_00046	CDS	1380	csbX		COG0477	Alpha-ketoglutarate permease
JOIMIODL_00047	CDS	1002	rbsB		COG1879	Ribose import binding protein RbsB
JOIMIODL_00048	CDS	1221	rbsC_1		COG1172	Ribose import permease protein RbsC
JOIMIODL_00049	CDS	1542	xylG_1	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
JOIMIODL_00050	CDS	678				hypothetical protein
JOIMIODL_00051	CDS	1101	eltD	1.1.1.-	COG1063	Erythritol/L-threitol dehydrogenase
JOIMIODL_00052	CDS	948	sorC_1		COG2390	Sorbitol operon regulator
JOIMIODL_00053	CDS	1491	xylB_1	2.7.1.17	COG1070	Xylulose kinase
JOIMIODL_00054	CDS	852		3.1.1.99		6-deoxy-6-sulfogluconolactonase
JOIMIODL_00055	CDS	1566	putP_1		COG0591	High-affinity proline transporter PutP
JOIMIODL_00056	CDS	1545	glpK	2.7.1.30	COG0554	Glycerol kinase
JOIMIODL_00057	CDS	732	glpF		COG0580	putative glycerol uptake facilitator protein
JOIMIODL_00058	CDS	1845	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
JOIMIODL_00059	CDS	960	deoR_1		COG2390	Deoxyribonucleoside regulator
JOIMIODL_00060	CDS	399				hypothetical protein
JOIMIODL_00061	CDS	873	fdhD		COG1526	Sulfur carrier protein FdhD
JOIMIODL_00062	CDS	504				hypothetical protein
JOIMIODL_00063	CDS	516				putative protein
JOIMIODL_00064	CDS	951	yehZ		COG1732	Glycine betaine-binding protein YehZ
JOIMIODL_00065	CDS	672	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
JOIMIODL_00066	CDS	651	yehY		COG1174	Glycine betaine uptake system permease protein YehY
JOIMIODL_00067	CDS	831	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
JOIMIODL_00068	CDS	867	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
JOIMIODL_00069	CDS	705	yecS_1		COG0765	L-cystine transport system permease protein YecS
JOIMIODL_00070	CDS	969	peb1A		COG0834	Major cell-binding factor
