locus_tag	ftype	length_bp	gene	EC_number	COG	product
LJFCBDKD_00001	CDS	999	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
LJFCBDKD_00002	CDS	2205				hypothetical protein
LJFCBDKD_00003	CDS	1680				hypothetical protein
LJFCBDKD_00004	CDS	1008	cobB_1	3.5.1.-	COG0846	NAD-dependent protein deacetylase
LJFCBDKD_00005	CDS	1200	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
LJFCBDKD_00006	CDS	915	thiG	2.8.1.10	COG2022	Thiazole synthase
LJFCBDKD_00007	CDS	249				hypothetical protein
LJFCBDKD_00008	CDS	1227	thiO	1.4.3.19	COG0665	Glycine oxidase
LJFCBDKD_00009	CDS	819	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
LJFCBDKD_00010	CDS	927				hypothetical protein
LJFCBDKD_00011	CDS	771				hypothetical protein
LJFCBDKD_00012	CDS	1860	ybgJ		COG2049	putative protein YbgJ
LJFCBDKD_00013	CDS	492	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
LJFCBDKD_00014	CDS	1470	naiP			Putative niacin/nicotinamide transporter NaiP
LJFCBDKD_00015	CDS	471	derI2_1	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase 2
LJFCBDKD_00016	CDS	1713	lerK_1	2.7.1.209	COG2376	L-erythrulose 1-kinase
LJFCBDKD_00017	CDS	1380	csbX		COG0477	Alpha-ketoglutarate permease
LJFCBDKD_00018	CDS	1014	rbsB		COG1879	Ribose import binding protein RbsB
LJFCBDKD_00019	CDS	1221	rbsC_1		COG1172	Ribose import permease protein RbsC
LJFCBDKD_00020	CDS	1542	xylG_1	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
LJFCBDKD_00021	CDS	678				hypothetical protein
LJFCBDKD_00022	CDS	1101	eltD	1.1.1.-	COG1063	Erythritol/L-threitol dehydrogenase
LJFCBDKD_00023	CDS	948	sorC_1		COG2390	Sorbitol operon regulator
LJFCBDKD_00024	CDS	1491	xylB_1	2.7.1.17	COG1070	Xylulose kinase
LJFCBDKD_00025	CDS	852		3.1.1.99		6-deoxy-6-sulfogluconolactonase
LJFCBDKD_00026	CDS	1566	putP_1		COG0591	High-affinity proline transporter PutP
LJFCBDKD_00027	CDS	711				hypothetical protein
LJFCBDKD_00028	CDS	1545	glpK	2.7.1.30	COG0554	Glycerol kinase
LJFCBDKD_00029	CDS	732	glpF		COG0580	putative glycerol uptake facilitator protein
LJFCBDKD_00030	CDS	1845	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
LJFCBDKD_00031	CDS	960	deoR_1		COG2390	Deoxyribonucleoside regulator
LJFCBDKD_00032	CDS	345				hypothetical protein
LJFCBDKD_00033	CDS	873	fdhD		COG1526	Sulfur carrier protein FdhD
