locus_tag	ftype	length_bp	gene	EC_number	COG	product
DNNBHHGK_00001	CDS	321				hypothetical protein
DNNBHHGK_00002	CDS	1107				hypothetical protein
DNNBHHGK_00003	CDS	1035				hypothetical protein
DNNBHHGK_00004	CDS	321				hypothetical protein
DNNBHHGK_00005	tRNA	76				tRNA-Lys(ttt)
DNNBHHGK_00006	CDS	1035				hypothetical protein
DNNBHHGK_00007	CDS	1524	alsT		COG1115	Amino-acid carrier protein AlsT
DNNBHHGK_00008	CDS	441	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
DNNBHHGK_00009	CDS	1272	ectB_1	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
DNNBHHGK_00010	CDS	393	ectC	4.2.1.108		L-ectoine synthase
DNNBHHGK_00011	CDS	642				hypothetical protein
DNNBHHGK_00012	CDS	1008	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
DNNBHHGK_00013	CDS	1263				hypothetical protein
DNNBHHGK_00014	CDS	975				hypothetical protein
DNNBHHGK_00015	CDS	1329				hypothetical protein
DNNBHHGK_00016	CDS	2505				hypothetical protein
DNNBHHGK_00017	CDS	1518				hypothetical protein
DNNBHHGK_00018	CDS	882	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
DNNBHHGK_00019	CDS	1938				hypothetical protein
DNNBHHGK_00020	CDS	1674	pknK	2.7.11.1	COG2909	Serine/threonine-protein kinase PknK
DNNBHHGK_00021	CDS	723				hypothetical protein
DNNBHHGK_00022	CDS	4464	essC		COG1674	ESAT-6 secretion machinery protein EssC
DNNBHHGK_00023	CDS	228				hypothetical protein
DNNBHHGK_00024	CDS	483				hypothetical protein
DNNBHHGK_00025	CDS	261				hypothetical protein
DNNBHHGK_00026	CDS	270				hypothetical protein
DNNBHHGK_00027	CDS	489				hypothetical protein
DNNBHHGK_00028	tRNA	84				tRNA-Tyr(gta)
DNNBHHGK_00029	tRNA	74				tRNA-Thr(ggt)
DNNBHHGK_00030	tRNA	77				tRNA-Met(cat)
DNNBHHGK_00031	CDS	171	rpmG2_1		COG0267	50S ribosomal protein L33 2
DNNBHHGK_00032	CDS	450				hypothetical protein
DNNBHHGK_00033	CDS	468				hypothetical protein
DNNBHHGK_00034	CDS	1128	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
DNNBHHGK_00035	CDS	1269	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
DNNBHHGK_00036	CDS	900	folD		COG0190	Bifunctional protein FolD protein
DNNBHHGK_00037	CDS	822	exoA_1	3.1.11.2	COG0708	Exodeoxyribonuclease
DNNBHHGK_00038	CDS	762	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
DNNBHHGK_00039	CDS	1776	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
DNNBHHGK_00040	CDS	459				hypothetical protein
DNNBHHGK_00041	CDS	378	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
DNNBHHGK_00042	CDS	1362	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
DNNBHHGK_00043	CDS	1242	yxeP_1	3.-.-.-	COG1473	putative hydrolase YxeP
DNNBHHGK_00044	CDS	1113	tmpC		COG1744	Membrane lipoprotein TmpC
DNNBHHGK_00045	CDS	1572	xylG_1	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
DNNBHHGK_00046	CDS	1602				hypothetical protein
DNNBHHGK_00047	CDS	1338				hypothetical protein
DNNBHHGK_00048	CDS	480	cdd	3.5.4.5	COG0295	Cytidine deaminase
DNNBHHGK_00049	CDS	1329	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
DNNBHHGK_00050	CDS	1062	udk	2.7.1.48		Uridine kinase
DNNBHHGK_00051	CDS	666	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
DNNBHHGK_00052	CDS	1755		5.4.2.8	COG1109	putative phosphomannomutase
DNNBHHGK_00053	CDS	912	punA	2.4.2.1		Purine nucleoside phosphorylase
DNNBHHGK_00054	CDS	1404	lpdA	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
DNNBHHGK_00055	CDS	1779	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
DNNBHHGK_00056	CDS	789			COG0424	Maf-like protein
DNNBHHGK_00057	CDS	1755				hypothetical protein
DNNBHHGK_00058	CDS	246				hypothetical protein
DNNBHHGK_00059	CDS	1590	accD5	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
DNNBHHGK_00060	CDS	1014	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
DNNBHHGK_00061	CDS	1167		4.6.1.1	COG2114	pH-sensitive adenylate cyclase
DNNBHHGK_00062	CDS	696	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
DNNBHHGK_00063	CDS	1368	arlS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase ArlS
DNNBHHGK_00064	CDS	1290	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
DNNBHHGK_00065	CDS	519	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
DNNBHHGK_00066	CDS	687	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
DNNBHHGK_00067	CDS	1110	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
DNNBHHGK_00068	CDS	1014	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
DNNBHHGK_00069	CDS	1398				hypothetical protein
DNNBHHGK_00070	CDS	1959				hypothetical protein
DNNBHHGK_00071	CDS	1845	pglK	3.6.3.39	COG1132	Protein glycosylation K
DNNBHHGK_00072	CDS	1128				hypothetical protein
DNNBHHGK_00073	CDS	1101				hypothetical protein
DNNBHHGK_00074	CDS	1113	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
DNNBHHGK_00075	CDS	1362	kanE_1	2.4.1.301		Alpha-D-kanosaminyltransferase
DNNBHHGK_00076	CDS	1065	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
DNNBHHGK_00077	CDS	1206				hypothetical protein
DNNBHHGK_00078	CDS	1941				hypothetical protein
DNNBHHGK_00079	CDS	429				hypothetical protein
DNNBHHGK_00080	CDS	1326	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
DNNBHHGK_00081	CDS	720	ppm1_1	2.4.1.-		Polyprenol monophosphomannose synthase
DNNBHHGK_00082	CDS	1050	lcpB		COG1316	putative cell wall biosynthesis protein LcpB
DNNBHHGK_00083	CDS	1008	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
DNNBHHGK_00084	CDS	873	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
DNNBHHGK_00085	CDS	1158	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
DNNBHHGK_00086	CDS	2124	glfT2_1	2.4.1.288	COG1216	Galactofuranosyltransferase GlfT2
DNNBHHGK_00087	CDS	936				hypothetical protein
DNNBHHGK_00088	CDS	771	tagH_1	3.6.3.40	COG1134	Teichoic acids export ATP-binding protein TagH
DNNBHHGK_00089	CDS	729				hypothetical protein
DNNBHHGK_00090	CDS	1203	fbiB	6.3.2.31	COG0778	Coenzyme F420:L-glutamate ligase
DNNBHHGK_00091	CDS	333	whiB			Transcriptional regulator WhiB
DNNBHHGK_00092	CDS	3438				hypothetical protein
DNNBHHGK_00093	CDS	1800				hypothetical protein
DNNBHHGK_00094	CDS	456				hypothetical protein
DNNBHHGK_00095	CDS	348				hypothetical protein
DNNBHHGK_00096	CDS	1794	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
DNNBHHGK_00097	CDS	852				hypothetical protein
DNNBHHGK_00098	CDS	1020				hypothetical protein
DNNBHHGK_00099	CDS	1299				hypothetical protein
DNNBHHGK_00100	CDS	1092	ravA_1	3.6.3.-	COG0714	ATPase RavA
DNNBHHGK_00101	CDS	1251				putative membrane protein
DNNBHHGK_00102	CDS	708				hypothetical protein
DNNBHHGK_00103	CDS	1146				hypothetical protein
DNNBHHGK_00104	CDS	696	mtrA		COG0745	DNA-binding response regulator MtrA
DNNBHHGK_00105	CDS	1725	mtrB	2.7.13.3		Sensor histidine kinase MtrB
DNNBHHGK_00106	CDS	1704	lpqB			Lipoprotein LpqB
DNNBHHGK_00107	CDS	930	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
DNNBHHGK_00108	CDS	666	hpf_1		COG1544	Ribosome hibernation promotion factor
DNNBHHGK_00109	CDS	1341				hypothetical protein
DNNBHHGK_00110	CDS	2922	secA			Protein translocase subunit SecA
DNNBHHGK_00111	CDS	402				hypothetical protein
DNNBHHGK_00112	CDS	924				hypothetical protein
DNNBHHGK_00113	CDS	546				hypothetical protein
DNNBHHGK_00114	CDS	240				hypothetical protein
DNNBHHGK_00115	CDS	639				hypothetical protein
DNNBHHGK_00116	CDS	1254				Iron-sulfur cluster carrier protein
DNNBHHGK_00117	CDS	468				hypothetical protein
DNNBHHGK_00118	CDS	507				hypothetical protein
DNNBHHGK_00119	CDS	1515	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
DNNBHHGK_00120	CDS	249	whiB1			Transcriptional regulator WhiB1
DNNBHHGK_00121	CDS	450				hypothetical protein
DNNBHHGK_00122	CDS	2517	ytrF		COG0577	ABC transporter permease YtrF
DNNBHHGK_00123	CDS	792	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
DNNBHHGK_00124	CDS	690	nreC_1		COG2197	Oxygen regulatory protein NreC
DNNBHHGK_00125	CDS	1284	desK_1	2.7.13.3	COG4585	Sensor histidine kinase DesK
DNNBHHGK_00126	CDS	747	yedK_1	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
