locus_tag	ftype	length_bp	gene	EC_number	COG	product
DPNJBGPE_00001	CDS	558				hypothetical protein
DPNJBGPE_00002	CDS	708				hypothetical protein
DPNJBGPE_00003	CDS	1377	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
DPNJBGPE_00004	CDS	1209	doeA	3.5.4.44	COG0006	Ectoine hydrolase
DPNJBGPE_00005	CDS	1260	ectB_1	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate transaminase
DPNJBGPE_00006	CDS	621				hypothetical protein
DPNJBGPE_00007	CDS	2196	ydgH		COG2409	Putative membrane protein YdgH
DPNJBGPE_00008	CDS	885	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
DPNJBGPE_00009	CDS	933	yghA_1	1.-.-.-		putative oxidoreductase YghA
DPNJBGPE_00010	CDS	630	narL		COG2197	putative transcriptional regulatory protein NarL
DPNJBGPE_00011	CDS	1152	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
DPNJBGPE_00012	CDS	1194	mdoC	2.1.-.-		Glucans biosynthesis protein C
DPNJBGPE_00013	CDS	894	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
DPNJBGPE_00014	CDS	945	sugA_1		COG1175	Trehalose transport system permease protein SugA
DPNJBGPE_00015	CDS	1455				hypothetical protein
DPNJBGPE_00016	CDS	648				hypothetical protein
DPNJBGPE_00017	CDS	474	nudC_1	3.6.1.22		NADH pyrophosphatase
DPNJBGPE_00018	CDS	291				hypothetical protein
DPNJBGPE_00019	CDS	2262	der		COG1160	GTPase Der
DPNJBGPE_00020	CDS	1110	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
DPNJBGPE_00021	CDS	879		5.4.99.-	COG1187	putative RNA pseudouridine synthase
DPNJBGPE_00022	CDS	873			COG1192	putative protein
DPNJBGPE_00023	CDS	999	xerD_1		COG4974	Tyrosine recombinase XerD
DPNJBGPE_00024	CDS	954	ctaB	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
DPNJBGPE_00025	CDS	2097	tkt_1	2.2.1.1	COG0021	Transketolase
DPNJBGPE_00026	CDS	1113	tal	2.2.1.2	COG0176	Transaldolase
DPNJBGPE_00027	CDS	1563	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
DPNJBGPE_00028	CDS	1716	pgl_1	3.1.1.31	COG0363	6-phosphogluconolactonase
DPNJBGPE_00029	CDS	249	secG		COG1314	putative protein-export membrane protein SecG
DPNJBGPE_00030	CDS	774	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
DPNJBGPE_00031	CDS	1203	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
DPNJBGPE_00032	CDS	1005	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
DPNJBGPE_00033	CDS	999	whiA		COG1481	Putative sporulation transcription regulator WhiA
DPNJBGPE_00034	CDS	1140			COG0391	Putative gluconeogenesis factor
DPNJBGPE_00035	CDS	897			COG1660	Nucleotide-binding protein
DPNJBGPE_00036	CDS	1941	uvrC		COG0322	UvrABC system protein C
DPNJBGPE_00037	CDS	2868	uvrA_1		COG0178	UvrABC system protein A
DPNJBGPE_00038	CDS	690	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
DPNJBGPE_00039	CDS	1743	polA_1	2.7.7.7		DNA polymerase I, thermostable
DPNJBGPE_00040	CDS	564				hypothetical protein
DPNJBGPE_00041	CDS	501				hypothetical protein
DPNJBGPE_00042	CDS	1716		3.6.3.-		Putative multidrug export ATP-binding/permease protein
DPNJBGPE_00043	CDS	2106	uvrB		COG0556	UvrABC system protein B
DPNJBGPE_00044	CDS	642	coaE_1	2.7.1.24	COG0237	Dephospho-CoA kinase
DPNJBGPE_00045	CDS	972				hypothetical protein
DPNJBGPE_00046	CDS	804	aroD	4.2.1.10		3-dehydroquinate dehydratase
DPNJBGPE_00047	CDS	1083	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DPNJBGPE_00048	CDS	555	aroK	2.7.1.71	COG0703	Shikimate kinase
DPNJBGPE_00049	CDS	1251	aroC	4.2.3.5	COG0082	Chorismate synthase
DPNJBGPE_00050	CDS	780				hypothetical protein
DPNJBGPE_00051	CDS	831	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
DPNJBGPE_00052	CDS	1536	rpsA		COG0539	30S ribosomal protein S1
DPNJBGPE_00053	CDS	2691	polA_2	2.7.7.7	COG0258	DNA polymerase I
DPNJBGPE_00054	CDS	456	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
DPNJBGPE_00055	CDS	1359				hypothetical protein
DPNJBGPE_00056	CDS	651	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
DPNJBGPE_00057	tRNA	85				tRNA-Leu(caa)
DPNJBGPE_00058	CDS	1470	pyk	2.7.1.40	COG0469	Pyruvate kinase
DPNJBGPE_00059	CDS	1479	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
DPNJBGPE_00060	CDS	4491	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
DPNJBGPE_00061	CDS	930	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
DPNJBGPE_00062	CDS	828	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
DPNJBGPE_00063	CDS	1335	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
DPNJBGPE_00064	CDS	834	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
DPNJBGPE_00065	CDS	468				hypothetical protein
DPNJBGPE_00066	CDS	249				hypothetical protein
DPNJBGPE_00067	CDS	738				hypothetical protein
DPNJBGPE_00068	CDS	1605	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
DPNJBGPE_00069	CDS	414	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
DPNJBGPE_00070	CDS	1209	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
DPNJBGPE_00071	CDS	1275	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
DPNJBGPE_00072	CDS	366	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
DPNJBGPE_00073	CDS	597	gmk	2.7.4.8	COG0194	Guanylate kinase
DPNJBGPE_00074	CDS	327				hypothetical protein
DPNJBGPE_00075	CDS	852	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
DPNJBGPE_00076	CDS	3357	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
DPNJBGPE_00077	CDS	1245	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
DPNJBGPE_00078	CDS	492				hypothetical protein
DPNJBGPE_00079	CDS	1335	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
DPNJBGPE_00080	CDS	957	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
DPNJBGPE_00081	CDS	615	pyrR		COG2065	Bifunctional protein PyrR
DPNJBGPE_00082	CDS	519	nusB		COG0781	Transcription antitermination protein NusB
DPNJBGPE_00083	CDS	561	efp		COG0231	Elongation factor P
DPNJBGPE_00084	CDS	630				hypothetical protein
DPNJBGPE_00085	CDS	1605	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
DPNJBGPE_00086	CDS	1116	ald	1.4.1.1	COG0686	Alanine dehydrogenase
DPNJBGPE_00087	CDS	576	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
DPNJBGPE_00088	CDS	789	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
DPNJBGPE_00089	CDS	711				hypothetical protein
DPNJBGPE_00090	CDS	510	rpsI		COG0103	30S ribosomal protein S9
DPNJBGPE_00091	CDS	444	rplM		COG0102	50S ribosomal protein L13
DPNJBGPE_00092	CDS	924	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
DPNJBGPE_00093	CDS	1374	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
DPNJBGPE_00094	CDS	918	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
DPNJBGPE_00095	CDS	576	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
DPNJBGPE_00096	CDS	735				hypothetical protein
DPNJBGPE_00097	CDS	270	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
DPNJBGPE_00098	CDS	726	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
DPNJBGPE_00099	CDS	1308	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
DPNJBGPE_00100	CDS	1251		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
DPNJBGPE_00101	CDS	1074			COG1680	putative protein
DPNJBGPE_00102	CDS	1266	intQ		COG0582	Putative defective protein IntQ
DPNJBGPE_00103	CDS	552				hypothetical protein
DPNJBGPE_00104	CDS	225				hypothetical protein
DPNJBGPE_00105	CDS	318				hypothetical protein
DPNJBGPE_00106	CDS	240				hypothetical protein
DPNJBGPE_00107	CDS	3468	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
DPNJBGPE_00108	CDS	1464	bmr3_1			Multidrug resistance protein 3
DPNJBGPE_00109	CDS	606	betI_1			HTH-type transcriptional regulator BetI
DPNJBGPE_00110	CDS	798	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
DPNJBGPE_00111	CDS	1044				hypothetical protein
DPNJBGPE_00112	CDS	471				hypothetical protein
DPNJBGPE_00113	CDS	582	kstR			HTH-type transcriptional repressor KstR
DPNJBGPE_00114	CDS	741	merR1_1			Mercuric resistance operon regulatory protein
DPNJBGPE_00115	CDS	1281				putative multidrug-efflux transporter
DPNJBGPE_00116	CDS	852	tipA			HTH-type transcriptional activator TipA
DPNJBGPE_00117	CDS	408				hypothetical protein
DPNJBGPE_00118	CDS	969	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
DPNJBGPE_00119	CDS	981				hypothetical protein
