locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCMEOHNO_00001	CDS	297				hypothetical protein
MCMEOHNO_00002	CDS	789	iclR_1		COG1414	Transcriptional repressor IclR
MCMEOHNO_00003	CDS	885	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MCMEOHNO_00004	CDS	1362	gntT		COG2610	High-affinity gluconate transporter
MCMEOHNO_00005	CDS	885	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
MCMEOHNO_00006	CDS	1479	gudD	4.2.1.40	COG4948	Glucarate dehydratase
MCMEOHNO_00007	CDS	1149		4.2.1.156	COG4948	L-talarate/galactarate dehydratase
MCMEOHNO_00008	CDS	525				hypothetical protein
MCMEOHNO_00009	CDS	558				hypothetical protein
MCMEOHNO_00010	CDS	1140				hypothetical protein
MCMEOHNO_00011	CDS	708	cysA_1	3.6.3.25	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MCMEOHNO_00012	CDS	1158	cmpC	3.6.3.-		Bicarbonate transport ATP-binding protein CmpC
MCMEOHNO_00013	CDS	846	cmpB		COG0600	Bicarbonate transport system permease protein CmpB
MCMEOHNO_00014	CDS	1218	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MCMEOHNO_00015	CDS	1272	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MCMEOHNO_00016	CDS	393				hypothetical protein
MCMEOHNO_00017	CDS	810				hypothetical protein
MCMEOHNO_00018	CDS	339				hypothetical protein
MCMEOHNO_00019	CDS	1209	cysK	2.5.1.47		Cysteine synthase
MCMEOHNO_00020	CDS	465				hypothetical protein
MCMEOHNO_00021	CDS	756	mshD_1	2.3.1.189		Mycothiol acetyltransferase
MCMEOHNO_00022	CDS	483				hypothetical protein
MCMEOHNO_00023	CDS	408				hypothetical protein
MCMEOHNO_00024	CDS	858				hypothetical protein
MCMEOHNO_00025	CDS	2211	fadB			Fatty acid oxidation complex subunit alpha
MCMEOHNO_00026	CDS	858				hypothetical protein
MCMEOHNO_00027	CDS	1173	dapC	2.6.1.17		putative N-succinyldiaminopimelate aminotransferase DapC
MCMEOHNO_00028	CDS	612				hypothetical protein
MCMEOHNO_00029	CDS	111				hypothetical protein
MCMEOHNO_00030	CDS	801	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
MCMEOHNO_00031	CDS	810	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MCMEOHNO_00032	CDS	969	peb1A		COG0834	Major cell-binding factor
MCMEOHNO_00033	CDS	705	yecS_1		COG0765	L-cystine transport system permease protein YecS
MCMEOHNO_00034	CDS	867	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
MCMEOHNO_00035	CDS	831	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
MCMEOHNO_00036	CDS	651	yehY		COG1174	Glycine betaine uptake system permease protein YehY
