locus_tag	ftype	length_bp	gene	EC_number	COG	product
FOMIDEFL_00001	tRNA	87				tRNA-Ser(cga)
FOMIDEFL_00002	CDS	852				Universal stress protein
FOMIDEFL_00003	CDS	840	cytR_1		COG1609	HTH-type transcriptional repressor CytR
FOMIDEFL_00004	CDS	2559				hypothetical protein
FOMIDEFL_00005	CDS	861	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
FOMIDEFL_00006	CDS	879	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
FOMIDEFL_00007	CDS	1017	dppC		COG1173	Dipeptide transport system permease protein DppC
FOMIDEFL_00008	CDS	987	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FOMIDEFL_00009	CDS	1695	appA			Oligopeptide-binding protein AppA
FOMIDEFL_00010	CDS	1062				hypothetical protein
FOMIDEFL_00011	CDS	957				hypothetical protein
FOMIDEFL_00012	CDS	2040	dapb1_1	3.4.14.-		Dipeptidyl aminopeptidase BI
FOMIDEFL_00013	CDS	2139	dapb1_2	3.4.14.-		Dipeptidyl aminopeptidase BI
FOMIDEFL_00014	CDS	789	golD_1	1.1.1.6		NAD-dependent glycerol dehydrogenase
FOMIDEFL_00015	CDS	855	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
FOMIDEFL_00016	CDS	693	metP		COG2011	Methionine import system permease protein MetP
FOMIDEFL_00017	CDS	1065	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
FOMIDEFL_00018	CDS	1674	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
FOMIDEFL_00019	CDS	516				hypothetical protein
FOMIDEFL_00020	CDS	1170	desK_1	2.7.13.3	COG4585	Sensor histidine kinase DesK
FOMIDEFL_00021	CDS	642	desR_1		COG2197	Transcriptional regulatory protein DesR
FOMIDEFL_00022	CDS	1026	ssuA_1		COG0715	Putative aliphatic sulfonates-binding protein
FOMIDEFL_00023	CDS	849	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
FOMIDEFL_00024	CDS	786	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
FOMIDEFL_00025	CDS	462	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
FOMIDEFL_00026	CDS	639	upp	2.4.2.9		Uracil phosphoribosyltransferase
FOMIDEFL_00027	CDS	303	ureA	3.5.1.5		Urease subunit gamma
FOMIDEFL_00028	CDS	582	ureB	3.5.1.5		Urease subunit beta
FOMIDEFL_00029	CDS	1710	ureC	3.5.1.5	COG0804	Urease subunit alpha
FOMIDEFL_00030	CDS	597	ureF			Urease accessory protein UreF
FOMIDEFL_00031	CDS	906	ureD			Urease accessory protein UreD
FOMIDEFL_00032	CDS	771	ureG			Urease accessory protein UreG
FOMIDEFL_00033	CDS	759	srrA		COG0745	Transcriptional regulatory protein SrrA
FOMIDEFL_00034	CDS	825				hypothetical protein
FOMIDEFL_00035	CDS	1665	espI_1		COG0455	ESX-1 secretion-associated protein EspI
FOMIDEFL_00036	CDS	3126				hypothetical protein
FOMIDEFL_00037	CDS	738			COG4279	putative protein
FOMIDEFL_00038	CDS	1545	pbpE_1		COG1680	Penicillin-binding protein 4*
FOMIDEFL_00039	CDS	1395	pknA_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FOMIDEFL_00040	CDS	870				hypothetical protein
FOMIDEFL_00041	CDS	1401	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
FOMIDEFL_00042	CDS	828	lipR_1	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
FOMIDEFL_00043	CDS	1251	yycB_1		COG2807	putative transporter YycB
FOMIDEFL_00044	CDS	1932	uacT		COG2233	Uric acid transporter UacT
FOMIDEFL_00045	CDS	978	dagK_1	2.7.1.107		Diacylglycerol kinase
FOMIDEFL_00046	CDS	1179			COG0628	Putative transport protein
FOMIDEFL_00047	CDS	921				hypothetical protein
FOMIDEFL_00048	CDS	1587	mctC		COG4147	Monocarboxylic acid transporter
FOMIDEFL_00049	CDS	408				hypothetical protein
FOMIDEFL_00050	CDS	2574	uvrA_1		COG0178	UvrABC system protein A
FOMIDEFL_00051	CDS	834	ylmA_1	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
FOMIDEFL_00052	CDS	1821	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
FOMIDEFL_00053	CDS	1485				putative protein
FOMIDEFL_00054	CDS	1407	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FOMIDEFL_00055	CDS	471				hypothetical protein
FOMIDEFL_00056	CDS	855				hypothetical protein
FOMIDEFL_00057	CDS	588				hypothetical protein
FOMIDEFL_00058	CDS	636				hypothetical protein
FOMIDEFL_00059	CDS	774				hypothetical protein
FOMIDEFL_00060	CDS	1395				Carbohydrate-binding domain-containing protein
FOMIDEFL_00061	CDS	510				hypothetical protein
FOMIDEFL_00062	CDS	330				hypothetical protein
FOMIDEFL_00063	CDS	1749				hypothetical protein
FOMIDEFL_00064	CDS	918				hypothetical protein
FOMIDEFL_00065	CDS	789				hypothetical protein
FOMIDEFL_00066	CDS	480				hypothetical protein
FOMIDEFL_00067	CDS	690	mprA			Response regulator MprA
FOMIDEFL_00068	CDS	1542	arlS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase ArlS
FOMIDEFL_00069	CDS	3357	swrC		COG0841	Swarming motility protein SwrC
FOMIDEFL_00070	CDS	1392	dinF		COG0534	DNA damage-inducible protein F
FOMIDEFL_00071	CDS	1050	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
FOMIDEFL_00072	CDS	1056	hmuU_1		COG0609	Hemin transport system permease protein HmuU
FOMIDEFL_00073	CDS	822	hmuV_1	3.6.3.-		Hemin import ATP-binding protein HmuV
FOMIDEFL_00074	CDS	2814				hypothetical protein
FOMIDEFL_00075	CDS	852	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
FOMIDEFL_00076	CDS	2334	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
FOMIDEFL_00077	CDS	939	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FOMIDEFL_00078	CDS	1518	smvA			Methyl viologen resistance protein SmvA
FOMIDEFL_00079	CDS	540				hypothetical protein
FOMIDEFL_00080	CDS	1050				hypothetical protein
FOMIDEFL_00081	CDS	642	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
FOMIDEFL_00082	CDS	1641	ywqD_1	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
FOMIDEFL_00083	CDS	1440				hypothetical protein
FOMIDEFL_00084	CDS	1224	glgM_1	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
FOMIDEFL_00085	CDS	1320				hypothetical protein
FOMIDEFL_00086	CDS	1155	gtf1	2.4.1.-		Glycosyltransferase Gtf1
FOMIDEFL_00087	CDS	1137	pglC_1	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
FOMIDEFL_00088	CDS	1212	femX	2.3.2.16	COG2348	Lipid II:glycine glycyltransferase
FOMIDEFL_00089	CDS	1215				hypothetical protein
FOMIDEFL_00090	CDS	1146	pglC_2	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
FOMIDEFL_00091	CDS	1164	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
FOMIDEFL_00092	CDS	1965	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
FOMIDEFL_00093	CDS	1041				hypothetical protein
FOMIDEFL_00094	CDS	1275	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
FOMIDEFL_00095	CDS	1068	rpfC	3.-.-.-		Resuscitation-promoting factor RpfC
FOMIDEFL_00096	CDS	744	golD_2	1.1.1.6		NAD-dependent glycerol dehydrogenase
FOMIDEFL_00097	CDS	1296	fes		COG2382	Enterochelin esterase
FOMIDEFL_00098	CDS	453				hypothetical protein
FOMIDEFL_00099	CDS	933				hypothetical protein
FOMIDEFL_00100	CDS	1566	hsrA_1			putative transport protein HsrA
FOMIDEFL_00101	CDS	375				hypothetical protein
FOMIDEFL_00102	CDS	1395				hypothetical protein
FOMIDEFL_00103	CDS	1431	hsrA_2			putative transport protein HsrA
FOMIDEFL_00104	CDS	1341	htpX	3.4.24.-		Protease HtpX
FOMIDEFL_00105	CDS	1452	alkH	1.2.1.3		Aldehyde dehydrogenase
FOMIDEFL_00106	CDS	186				hypothetical protein
FOMIDEFL_00107	CDS	486				hypothetical protein
FOMIDEFL_00108	CDS	1293	xyoA	1.1.3.41	COG0277	putative xylitol oxidase
FOMIDEFL_00109	CDS	1413	agaA	3.2.1.22		Alpha-galactosidase A
FOMIDEFL_00110	CDS	843				hypothetical protein
FOMIDEFL_00111	CDS	1293				hypothetical protein
FOMIDEFL_00112	CDS	936	lacF_1			Lactose transport system permease protein LacF
FOMIDEFL_00113	CDS	969	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
FOMIDEFL_00114	CDS	702				hypothetical protein
FOMIDEFL_00115	CDS	882	iolO	5.1.3.-	COG1082	5-keto-L-gluconate epimerase
FOMIDEFL_00116	CDS	1053	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
FOMIDEFL_00117	CDS	1338				hypothetical protein
FOMIDEFL_00118	CDS	360	rhaM	5.1.3.32		L-rhamnose mutarotase
