Function	Enzyme_EC	KO	gene	gene2	gene3
 fructan beta-(2,1)-fructosidase 	3.2.1.153	K20848	1-FEH		
 tabersonine 16-O-methyltransferase 	2.1.1.94	K21895	16OMT		
 16S ribosomal RNA		K01977	16SrRNA	rrs	
 16S ribosomal RNA		K01977	16SrRNA	rrs	
 16S ribosomal RNA		K01977	16SrRNA	rrs	
 replicase polyprotein 1ab 	2.1.1.- 2.7.7.48 3.4.22.- 3.6.4.13	K21077	1a-1b		
 (-)-deoxypodophyllotoxin synthase 	1.14.20.8	K21202	2-ODD		
 23S ribosomal RNA		K01980	23SrRNA	rrl	
 23S ribosomal RNA		K01980	23SrRNA	rrl	
 23S ribosomal RNA		K01980	23SrRNA	rrl	
 2-phosphoglycerate kinase 	2.7.2.-	K05715	2PGK		
 anthocyanidin 3-O-glucoside 6''-O-acyltransferase 	2.3.1.215	K21383	3AT		
 (+)-car-3-ene synthase 	4.2.3.107	K21938	3CAR		
 anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase 	2.4.1.297	K12933	3GGT		
 anthocyanin 3'-O-beta-glucosyltransferase 	2.4.1.238	K12939	3GT		
 anthocyanin 3-O-glucoside-6''-O-malonyltransferase 	2.3.1.171	K12931	3MaT1		
 anthocyanidin 3-O-glucoside-3'',6''-O-dimalonyltransferase 	2.3.1.-	K12932	3MaT2		
 4-coumarate--CoA ligase 	6.2.1.12	K01904	4CL		
 4-coumarate--CoA ligase 	6.2.1.12	K01904	4CL		
 4-coumarate--CoA ligase 	6.2.1.12	K01904	4CL		
 4-hydroxybutyrate dehydrogenase 	1.1.1.61	K18120	4hbD	abfH	
 4-hydroxybutyrate---CoA ligase (AMP-forming) 	6.2.1.40	K14467	4hbl		
 anthocyanin 5-aromatic acyltransferase 	2.3.1.153	K12936	5AT		
 betanidin 5-O-glucosyltransferase 	2.4.1.-	K15774	5GT		
 anthocyanin 5-O-glucoside-6'''-O-malonyltransferase 	2.3.1.172	K12934	5MaT1		
 anthocyanin 5-O-glucoside-4'''-O-malonyltransferase 	2.3.1.214	K12935	5MaT2		
 metalloendoproteinase 5-MMP 	3.4.24.-	K07761	5MMP		
 5S ribosomal RNA		K01985	5SrRNA	rrf	
 5S ribosomal RNA		K01985	5SrRNA	rrf	
 5S ribosomal RNA		K01985	5SrRNA	rrf	
 fructan beta-(2,6)-fructosidase 	3.2.1.154	K20849	6-FEH		
 (R)-6-hydroxynicotine oxidase 	1.5.3.6	K19890	6-hdno		
 galactan endo-1,6-beta-galactosidase 	3.2.1.164	K18579	6GAL		
 betanidin 6-O-glucosyltransferase 	2.4.1.-	K15775	6GT		
 tryptophan 7-dimethylallyltransferase 	2.5.1.80	K14131	7-DMATS		
 isoflavone-7-O-methyltransferase 	2.1.1.150	K13262	7-IOMT		
 AvrA10 protein		K13474	A10		
 transcript termination protein 	3.6.4.-	K21519	A18R		
 DNA polymerase processivity factor component		K21082	A20R		
 protein A27		K19263	A27L		
 protein A27		K19263	A27L		
 envelope protein A28		K21529	A28L		
 alpha-2-macroglobulin		K03910	A2M		
 alpha-2-macroglobulin		K03910	A2M		
