gene	com_862	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
aes	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aspC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cbpA	1	cbpA		Curved DNA-binding protein	8	8	1	1	11324	246	2		1013	1013	1013	GOJPHPBD_01537	DEIPBNHI_01265	LBLIGOHA_00577	IIFCLKFN_02095	BOFCGCOL_03327	KJABKPCK_02824	KLLDKJAP_01133	HHDJLLAI_01235	
cbpM	1	cbpM		Chaperone modulatory protein CbpM	1	1	1	7	12	128	15		311	311	311			LBLIGOHA_07356						
ctpA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dctQ	1	dctQ		C4-dicarboxylate TRAP transporter small permease protein DctQ	7	7	1	1	6916	1	1995		563	563	563		DEIPBNHI_04421	LBLIGOHA_06588	IIFCLKFN_03815	BOFCGCOL_04558	KJABKPCK_06908		HHDJLLAI_04437	IFEKPJDH_04691
dnaE	1	dnaE		DNA polymerase III subunit alpha	9	9	1	2	4424	NA	NA		3203	3203	3203	GOJPHPBD_08555	DEIPBNHI_10128	LBLIGOHA_08867	IIFCLKFN_07628	BOFCGCOL_08285	KJABKPCK_08570	KLLDKJAP_09222	HHDJLLAI_08397	IFEKPJDH_08345
dnaK2	1	dnaK2		Chaperone protein dnaK2	1	1	1	7	15	128	12		1865	1865	1865			LBLIGOHA_07359						
draG	1	draG		ADP-ribosyl-[dinitrogen reductase] glycohydrolase	9	9	1	1	11366	NA	NA		1076	1076	1076	GOJPHPBD_02587	DEIPBNHI_01294	LBLIGOHA_00548	IIFCLKFN_03390	BOFCGCOL_00742	KJABKPCK_01159	KLLDKJAP_00962	HHDJLLAI_01277	IFEKPJDH_03328
espI	1	espI		ESX-1 secretion-associated protein EspI	9	9	1	1	1096	NA	NA		1664	1664	1664	GOJPHPBD_01493	DEIPBNHI_01598	LBLIGOHA_00035	IIFCLKFN_01895	BOFCGCOL_01797	KJABKPCK_00444	KLLDKJAP_00477	HHDJLLAI_02872	IFEKPJDH_03494
fdhL	1	fdhL		Fructose dehydrogenase large subunit	6	6	1	1	6876	1	1909		779	1604	1191		DEIPBNHI_04384	LBLIGOHA_05397	IIFCLKFN_03848	BOFCGCOL_04526	KJABKPCK_06112	KLLDKJAP_03716		
fepC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
galD	1	galD		4-oxalomesaconate tautomerase	1	1	1	1	677	1	565		1103	1103	1103			LBLIGOHA_04688						
hexR	1	hexR		HTH-type transcriptional regulator HexR	1	1	1	1	9637	1641	3		842	842	842			LBLIGOHA_06751						
higA1	1	higA1		Antitoxin HigA1	9	9	1	1	10974	NA	NA		455	455	455	GOJPHPBD_00188	DEIPBNHI_02461	LBLIGOHA_02405	IIFCLKFN_01239	BOFCGCOL_03033	KJABKPCK_01853	KLLDKJAP_01279	HHDJLLAI_03541	IFEKPJDH_02403
hmrR	1	hmrR		HTH-type transcriptional regulator HmrR	1	1	1	1	7054	197	6		764	764	764			LBLIGOHA_04682						
inhA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mcrC	1	mcrC		Protein McrC	5	5	1	2	2382	2	25		1034	1034	1034		DEIPBNHI_10521	LBLIGOHA_09255	IIFCLKFN_09108			KLLDKJAP_09684	HHDJLLAI_08180	
mepH	1	mepH		Murein DD-endopeptidase MepH	1	1	1	6	24	27	70		1154	1154	1154			LBLIGOHA_02517						
metN	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
