gene	com_341	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
abfA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abn-ts	1	abn-ts		Intracellular endo-alpha-(1->5)-L-arabinanase	1	1	1	1	1219	4	48		2276	2276	2276	GOJPHPBD_03434								
araN	1	araN		putative arabinose-binding protein	1	1	1	1	2738	328	4		1337	1337	1337	GOJPHPBD_00396								
argE	1	argE		Acetylornithine deacetylase	8	8	1	1	9202	365	1		851	1208	1073	GOJPHPBD_06766	DEIPBNHI_05235	LBLIGOHA_05293		BOFCGCOL_04764	KJABKPCK_05341	KLLDKJAP_03918	HHDJLLAI_04322	IFEKPJDH_04173
atl	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
baeS	1	baeS		Signal transduction histidine-protein kinase BaeS	9	9	1	1	426	NA	NA		1139	1139	1139	GOJPHPBD_02222	DEIPBNHI_00792	LBLIGOHA_02556	IIFCLKFN_01260	BOFCGCOL_02460	KJABKPCK_02213	KLLDKJAP_02870	HHDJLLAI_00595	IFEKPJDH_01120
besA	1	besA		Ferri-bacillibactin esterase BesA	1	1	1	9	17	138	9		869	869	869	GOJPHPBD_03584								
bsaA	1	bsaA		Glutathione peroxidase BsaA	9	9	1	2	4021	NA	NA		398	473	448	GOJPHPBD_09524	DEIPBNHI_08707	LBLIGOHA_08497	IIFCLKFN_09592	BOFCGCOL_08783	KJABKPCK_08198	KLLDKJAP_08048	HHDJLLAI_09326	IFEKPJDH_08803
bshB1	1	bshB1		N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1	1	1	1	1	11179	49	4		635	635	635	GOJPHPBD_00329								
caiC	1	caiC		Crotonobetaine/carnitine--CoA ligase	1	1	1	1	4129	359	4		1577	1577	1577	GOJPHPBD_05783								
