gene	com_900	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
abo	1	abo		4-methylaminobutanoate oxidase (formaldehyde-forming)	7	7	1	1	5031	302	2		1154	1154	1154	GOJPHPBD_04195		LBLIGOHA_05609	IIFCLKFN_04481	BOFCGCOL_04909	KJABKPCK_04423		HHDJLLAI_06668	IFEKPJDH_06418
ade	1	ade		Adenine deaminase	1	1	1	1	6723	1	1721		1505	1505	1505					BOFCGCOL_07171				
aldA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bbp	1	bbp		Bone sialoprotein-binding protein	1	1	1	2	2143	1544	1		3854	3854	3854					BOFCGCOL_07416				
bdbD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bglF	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bglH	1	bglH		Aryl-phospho-beta-D-glucosidase BglH	8	8	1	2	2369	2	778		1052	1421	1190	GOJPHPBD_09572	DEIPBNHI_08963	LBLIGOHA_09264	IIFCLKFN_09099	BOFCGCOL_08094		KLLDKJAP_09693	HHDJLLAI_08189	IFEKPJDH_09630
bin3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
davD	1	davD		Glutarate-semialdehyde dehydrogenase DavD	1	1	1	1	8912	1505	3		1421	1421	1421					BOFCGCOL_04720				
dctM	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dgaE	1	dgaE		D-glucosaminate-6-phosphate ammonia lyase	1	1	1	2	2187	1264	5		1106	1106	1106					BOFCGCOL_07372				
dgaF	1	dgaF		2-dehydro-3-deoxy-phosphogluconate aldolase	1	1	1	2	2186	1264	4		749	749	749					BOFCGCOL_07373				
dgoA	1	dgoA		2-dehydro-3-deoxy-6-phosphogalactonate aldolase	9	9	1	1	2402	NA	NA		632	632	632	GOJPHPBD_01383	DEIPBNHI_02335	LBLIGOHA_02207	IIFCLKFN_02985	BOFCGCOL_01967	KJABKPCK_01282	KLLDKJAP_02602	HHDJLLAI_02631	IFEKPJDH_00730
dgoT	1	dgoT		D-galactonate transporter	1	1	1	1	6703	1	1713		1289	1289	1289					BOFCGCOL_07180				
dsdC	1	dsdC		HTH-type transcriptional regulator DsdC	1	1	1	1	10408	1496	6		875	875	875					BOFCGCOL_03860				
ecfA1	1	ecfA1		Energy-coupling factor transporter ATP-binding protein EcfA1	9	9	1	2	1550	NA	NA		809	809	809	GOJPHPBD_07952	DEIPBNHI_09789	LBLIGOHA_08369	IIFCLKFN_10038	BOFCGCOL_07933	KJABKPCK_07607	KLLDKJAP_09815	HHDJLLAI_08719	IFEKPJDH_07957
ecfA2	1	ecfA2		Energy-coupling factor transporter ATP-binding protein EcfA2	9	9	1	2	1549	NA	NA		863	863	863	GOJPHPBD_07953	DEIPBNHI_09788	LBLIGOHA_08370	IIFCLKFN_10039	BOFCGCOL_07934	KJABKPCK_07606	KLLDKJAP_09816	HHDJLLAI_08718	IFEKPJDH_07958
fabG	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fadD3	1	fadD3		3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	9	9	1	1	8140	NA	NA		1694	1694	1694	GOJPHPBD_03882	DEIPBNHI_03801	LBLIGOHA_06014	IIFCLKFN_07262	BOFCGCOL_06320	KJABKPCK_06198	KLLDKJAP_04772	HHDJLLAI_07143	IFEKPJDH_06500
frlR	1	frlR		putative fructoselysine utilization operon transcriptional repressor	1	1	1	2	2184	1264	2		725	725	725					BOFCGCOL_07375				
gdhIV	1	gdhIV		Glucose 1-dehydrogenase 4	3	3	1	2	572	3	498		413	758	643			LBLIGOHA_09505			KJABKPCK_10082			IFEKPJDH_10267
gntR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpmB	1	gpmB		phosphoglycerate mutase GpmB	1	1	1	169	5	1498	5		230	230	230					BOFCGCOL_10082				
haeIIIM	1	haeIIIM		Modification methylase HaeIII	2	2	1	1	6108	1	1551		1124	1124	1124						KJABKPCK_06164			IFEKPJDH_03896
hbpA	1	hbpA		Heme-binding protein A	5	5	1	1	2606	4	183		1577	1577	1577			LBLIGOHA_01113		BOFCGCOL_01623		KLLDKJAP_03468	HHDJLLAI_03439	IFEKPJDH_01779
hrdB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsdR	1	hsdR		Type-1 restriction enzyme R protein	1	1	1	1	558	1493	9		2933	2933	2933					BOFCGCOL_06519				
icaC	1	icaC		putative poly-beta-1,6-N-acetyl-D-glucosamine export protein	9	9	1	2	1939	NA	NA		1070	1070	1070	GOJPHPBD_07467	DEIPBNHI_08267	LBLIGOHA_09580	IIFCLKFN_08918	BOFCGCOL_07580	KJABKPCK_09279	KLLDKJAP_07570	HHDJLLAI_09449	IFEKPJDH_07570
idnT	1	idnT		Gnt-II system L-idonate transporter	1	1	1	2	1392	1264	1		1334	1334	1334					BOFCGCOL_07376				
irtA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
