gene	com_876	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
adc	1	adc		Acetoacetate decarboxylase	6	6	1	2	2357	2	31		374	734	674	GOJPHPBD_09562	DEIPBNHI_10425	LBLIGOHA_09274	IIFCLKFN_09870			KLLDKJAP_09703	HHDJLLAI_08199	
agaS	1	agaS		Putative D-galactosamine-6-phosphate deaminase AgaS	1	1	1	215	4	1820	10		1124	1124	1124				IIFCLKFN_00379					
ampH	1	ampH		D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	9	9	1	1	10670	NA	NA		215	1175	1037	GOJPHPBD_06329	DEIPBNHI_05131	LBLIGOHA_04362	IIFCLKFN_06679	BOFCGCOL_03899	KJABKPCK_06789	KLLDKJAP_04734	HHDJLLAI_05353	IFEKPJDH_06327
bcgIA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bchM	1	bchM		Magnesium-protoporphyrin O-methyltransferase	9	9	1	1	2043	NA	NA		623	623	623	GOJPHPBD_02807	DEIPBNHI_01135	LBLIGOHA_00943	IIFCLKFN_03165	BOFCGCOL_00223	KJABKPCK_01782	KLLDKJAP_02493	HHDJLLAI_02594	IFEKPJDH_01817
blaI	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
btuD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cbbY	1	cbbY		Protein CbbY	1	1	1	1	8931	1832	4		629	629	629				IIFCLKFN_06234					
cdhR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clcA	1	clcA		Chlorocatechol 1,2-dioxygenase	1	1	1	1	9642	1827	4		869	869	869				IIFCLKFN_03972					
cseC	1	cseC		Sensor protein CseC	9	9	1	1	10676	NA	NA		1280	1280	1280	GOJPHPBD_06335	DEIPBNHI_05125	LBLIGOHA_04368	IIFCLKFN_06685	BOFCGCOL_03893	KJABKPCK_06783	KLLDKJAP_04728	HHDJLLAI_05359	IFEKPJDH_06321
dadA	1	dadA		D-amino acid dehydrogenase	7	7	1	1	6871	1	2030		1133	1133	1133		DEIPBNHI_04376	LBLIGOHA_05389	IIFCLKFN_03856	BOFCGCOL_04518	KJABKPCK_06120		HHDJLLAI_04468	IFEKPJDH_04721
dgoD	1	dgoD		D-galactonate dehydratase	9	9	1	1	972	NA	NA		611	1148	1043	GOJPHPBD_00122	DEIPBNHI_03005	LBLIGOHA_01217	IIFCLKFN_01539	BOFCGCOL_00573	KJABKPCK_00634	KLLDKJAP_00282	HHDJLLAI_00841	IFEKPJDH_00193
dgoK1	1	dgoK1		putative 2-dehydro-3-deoxygalactonokinase DgoK1	1	1	1	1	6709	1	1735		1010	1010	1010				IIFCLKFN_06916					
dmlR	1	dmlR		HTH-type transcriptional regulator DmlR	8	8	1	1	9191	34	6		917	1046	1029	GOJPHPBD_06777	DEIPBNHI_05225	LBLIGOHA_05304		BOFCGCOL_04774	KJABKPCK_05330	KLLDKJAP_03929	HHDJLLAI_07231	IFEKPJDH_04183
dpkA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dpp5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
entS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epsM	1	epsM		Putative acetyltransferase EpsM	1	1	1	2	371	30	36		614	614	614				IIFCLKFN_07914					
ettA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
exsH	1	exsH		Endo-1,3-1,4-beta-glycanase ExsH	1	1	1	1	4142	1615	7		920	920	920				IIFCLKFN_07047					
fosB	1	fosB		Metallothiol transferase FosB	5	5	1	2	3242	24	44		221	419	260			LBLIGOHA_07719	IIFCLKFN_07600		KJABKPCK_08951	KLLDKJAP_08678	HHDJLLAI_07800	
ftsH3	1	ftsH3		ATP-dependent zinc metalloprotease FtsH 3	1	1	1	1	9884	1827	1		1601	1601	1601				IIFCLKFN_03975					
gatY	1	gatY		D-tagatose-1,6-bisphosphate aldolase subunit GatY	1	1	1	215	1	1820	7		914	914	914				IIFCLKFN_00382					
hhaIM	1	hhaIM		Modification methylase HhaI	2	2	1	2	1364	80	16		1304	1304	1304	GOJPHPBD_09780				BOFCGCOL_08902				
hutI	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
irtB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iucD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysC	1	lysC		Aspartokinase 2	9	9	1	2	4116	NA	NA		695	1130	1080	GOJPHPBD_08265	DEIPBNHI_10358	LBLIGOHA_08579	IIFCLKFN_07973	BOFCGCOL_08574	KJABKPCK_08283	KLLDKJAP_08130	HHDJLLAI_09700	IFEKPJDH_08636
mepM	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mftF	1	mftF		Putative mycofactocin biosynthesis glycosyltransferase MftF	1	1	1	1	4148	1615	13		1961	1961	1961				IIFCLKFN_07041					
npt	1	npt		4'-phosphopantetheinyl transferase Npt	1	1	1	1	4144	1615	9		632	632	632				IIFCLKFN_07045					
nrdH	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pbpA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pdxI	1	pdxI		Pyridoxine 4-dehydrogenase	1	1	1	1	6218	1817	6		1226	1226	1226				IIFCLKFN_04163					
pezA	1	pezA		Antitoxin PezA	1	1	1	2	133	2	406		239	239	239				IIFCLKFN_07752					
pfbA	1	pfbA		Plasmin and fibronectin-binding protein A	9	9	1	2	3548	NA	NA		1058	1058	1058	GOJPHPBD_09881	DEIPBNHI_09150	LBLIGOHA_10075	IIFCLKFN_09220	BOFCGCOL_09229	KJABKPCK_09401	KLLDKJAP_09372	HHDJLLAI_09249	IFEKPJDH_09779
psaB	1	psaB		Photosystem I P700 chlorophyll a apoprotein A2	1	1	1	216	2	1828	4		602	602	602				IIFCLKFN_07326					
sipW	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soj	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tagU	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trpG	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tuaD	1	tuaD		UDP-glucose 6-dehydrogenase TuaD	1	1	1	1	4118	145	9		1304	1304	1304				IIFCLKFN_06055					
tycC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
virD4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ybjJ	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yceI	1	yceI		hypothetical protein	2	2	1	1	5587	1	257		602	701	651		DEIPBNHI_06851							IFEKPJDH_05951
yfmC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ygeA	1	ygeA		Putative racemase YgeA	6	6	1	1	6750	1	1811		692	692	692	GOJPHPBD_07225			IIFCLKFN_07156		KJABKPCK_04062	KLLDKJAP_06135	HHDJLLAI_05156	IFEKPJDH_04422
yhjE	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ykfB	1	ykfB		L-Ala-D/L-Glu epimerase	1	1	1	1	9882	1827	5		1103	1103	1103				IIFCLKFN_03973					
ywqE	1	ywqE		Tyrosine-protein phosphatase YwqE	1	1	1	2	380	30	3		770	770	770				IIFCLKFN_07905					
